HIP,radius,radius_err,mass,mass_err,teff,teff_err
1954,0.945,0.052,1.02,0.124,5720,2
5301,0.994,0.04,1.02,0.127,5723,3
14501,1.218,0.054,1.03,0.122,5738,4
30158,1.022,0.053,1.02,0.13,5678,4
30502,1.025,0.055,1.02,0.127,5731,4
43297,0.941,0.04,1.01,0.128,5705,4
44935,1.102,0.062,1.04,0.127,5771,4
49756,1.032,0.056,1.04,0.126,5789,3
54582,1.264,0.062,1.06,0.129,5883,5
62039,1.166,0.063,1.02,0.125,5742,3
64673,1.271,0.05,1.08,0.146,5912,5
64713,1.015,0.057,1.03,0.132,5788,4
72043,1.186,0.049,1.06,0.13,5845,4
87769,1.097,0.058,1.04,0.13,5828,3
96160,0.975,0.055,1.04,0.135,5798,4
102152,1.083,0.062,1.02,0.128,5718,4
104045,1.047,0.042,1.05,0.129,5826,3
108158,1.215,0.051,1.01,0.125,5675,4
114328,1.082,0.058,1.04,0.129,5775,4
114615,0.949,0.04,1.05,0.13,5819,5
116906,1.133,0.048,1.04,0.133,5790,3
117367,1.161,0.048,1.06,0.13,5867,3
29525,0.912,0.037,1.02,0.125,5741,9
97507,0.940,0.040,1.030,0.125,5746.5,105.0
11915,0.955,0.056,1.030,0.132,5769,4
68468,1.197,0.071,1.060,0.133,5845,5
